.row,.pred,key
1,2.505800339621944,var
2,2.942248942072525,var
3,3.895812711389671,var
4,4.176912602296088,var
5,4.04523050997195,var
6,3.919645975553939,var
7,4.733517889082939,var
8,5.932863961026353,var
9,7.0121674476367435,var
10,6.91115224241527,var
11,6.2387287476062685,var
12,5.679054727612065,var
13,5.851451068884606,var
14,5.451056463438036,var
15,4.434373641150762,var
16,3.659262890886013,var
17,3.8563791941135523,var
18,4.27058521897669,var
19,4.059712068924865,var
20,3.5508173723707044,var
21,2.9844355954535255,var
22,2.7908079925693268,var
23,3.1123877313175665,var
24,3.4659312796152015,var
